mass,significance_exp,significance_obs
700,7.5748,0.7050
750,10.0512,0.0613
800,11.9604,0.5822
850,13.4591,1.6229
900,14.1291,0.3078
950,15.1369,0.0000
1000,15.7763,0.0000
1050,16.4182,0.0000
1100,16.7764,0.0000
1150,16.9325,0.0000
1200,16.9543,0.0000
1250,16.8543,0.0000
1300,16.6968,0.6923
1350,16.3220,0.6062
1400,15.8671,0.7721
1450,15.3563,1.8319
1500,14.8102,1.9584
1550,14.2355,1.0697
1600,13.6517,0.0000
1650,13.1148,0.0000
1700,12.5878,0.0000
1750,12.0810,0.0000
1800,11.5846,0.0000
1850,11.1127,0.0461
1900,10.6522,0.4798
1950,10.1865,0.2355
2000,9.7376,0.0000
2050,9.2863,0.0000
2100,8.8574,0.0000
2150,8.4221,0.0000
2200,8.0135,0.0000
2250,7.6163,0.0000
2300,7.2461,0.0000
2350,6.8805,0.0000
2400,6.5352,0.0000
2450,6.2060,0.0000
2500,5.8877,0.0000
2550,5.5743,0.0000
2600,5.2602,0.0000
2650,4.9738,0.0000
2700,4.6983,0.0000
2750,4.4418,0.0000
2800,4.1976,0.0000
2850,3.9725,0.0000
2900,3.7601,0.0000
2950,3.5655,0.0000
3000,3.3828,0.0000
3050,3.2180,0.0000
3100,3.0628,0.0000
3150,2.9165,0.0000
3200,2.7747,0.0000
3250,2.6364,0.0000
3300,2.4938,0.0000
3350,2.3456,0.0000
3400,2.1830,0.0000
3450,2.0006,0.0000
3500,1.7876,0.0000
